Packet_UID,Generation_Time,Reception_Time,End_To_End_Delay,SW1_Arrival,SW1_Eligibility,SW1_Departure,SW2_Arrival,SW2_Eligibility,SW2_Departure,Diff_Eli_Dest_SW1,Diff_Eli_Dest_SW2,Diff_EntrySW1_ExitSW2,Stay_Time_SW1,Stay_Time_SW2,Inter_Departure
96,0.00092,0.000943175,2.3175e-05,0.000924089,0.00093,0.00093,0.000934089,0.000939086,0.000939086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
97,0.00093,0.000953175,2.3175e-05,0.000934089,0.00094,0.00094,0.000944089,0.000949086,0.000949086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
98,0.00094,0.000963175,2.3175e-05,0.000944089,0.00095,0.00095,0.000954089,0.000959086,0.000959086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
99,0.00095,0.000973175,2.3175e-05,0.000954089,0.00096,0.00096,0.000964089,0.000969086,0.000969086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
100,0.00096,0.000983175,2.3175e-05,0.000964089,0.00097,0.00097,0.000974089,0.000979086,0.000979086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
101,0.00097,0.000993175,2.3175e-05,0.000974089,0.00098,0.00098,0.000984089,0.000989086,0.000989086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
102,0.00098,0.00100318,2.3175e-05,0.000984089,0.00099,0.00099,0.000994089,0.000999086,0.000999086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
103,0.00099,0.00101317,2.3175e-05,0.000994089,0.001,0.001,0.00100409,0.00100909,0.00100909,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
104,0.001,0.00102317,2.3175e-05,0.00100409,0.00101,0.00101,0.00101409,0.00101909,0.00101909,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
105,0.00101,0.00103317,2.3175e-05,0.00101409,0.00102,0.00102,0.00102409,0.00102909,0.00102909,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
106,0.00102,0.00104317,2.3175e-05,0.00102409,0.00103,0.00103,0.00103409,0.00103909,0.00103909,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
107,0.00103,0.00105317,2.3175e-05,0.00103409,0.00104,0.00104,0.00104409,0.00104909,0.00104909,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
108,0.00104,0.00106317,2.3175e-05,0.00104409,0.00105,0.00105,0.00105409,0.00105909,0.00105909,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
109,0.00105,0.00107317,2.3175e-05,0.00105409,0.00106,0.00106,0.00106409,0.00106909,0.00106909,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
110,0.00106,0.00108318,2.3175e-05,0.00106409,0.00107,0.00107,0.00107409,0.00107909,0.00107909,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
111,0.00107,0.00109318,2.3175e-05,0.00107409,0.00108,0.00108,0.00108409,0.00108909,0.00108909,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
112,0.00108,0.00110318,2.3175e-05,0.00108409,0.00109,0.00109,0.00109409,0.00109909,0.00109909,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
113,0.00109,0.00111318,2.3175e-05,0.00109409,0.0011,0.0011,0.00110409,0.00110909,0.00110909,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
114,0.0011,0.00112317,2.3175e-05,0.00110409,0.00111,0.00111,0.00111409,0.00111909,0.00111909,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
115,0.00111,0.00113317,2.3175e-05,0.00111409,0.00112,0.00112,0.00112409,0.00112909,0.00112909,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
116,0.00112,0.00114317,2.3175e-05,0.00112409,0.00113,0.00113,0.00113409,0.00113909,0.00113909,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
117,0.00113,0.00115317,2.3175e-05,0.00113409,0.00114,0.00114,0.00114409,0.00114909,0.00114909,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
118,0.00114,0.00116318,2.3175e-05,0.00114409,0.00115,0.00115,0.00115409,0.00115909,0.00115909,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
119,0.00115,0.00117318,2.3175e-05,0.00115409,0.00116,0.00116,0.00116409,0.00116909,0.00116909,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
120,0.00116,0.00118317,2.3175e-05,0.00116409,0.00117,0.00117,0.00117409,0.00117909,0.00117909,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
121,0.00117,0.00119317,2.3175e-05,0.00117409,0.00118,0.00118,0.00118409,0.00118909,0.00118909,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
122,0.00118,0.00120317,2.3175e-05,0.00118409,0.00119,0.00119,0.00119409,0.00119909,0.00119909,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
123,0.00119,0.00121317,2.3175e-05,0.00119409,0.0012,0.0012,0.00120409,0.00120909,0.00120909,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
124,0.0012,0.00122317,2.3175e-05,0.00120409,0.00121,0.00121,0.00121409,0.00121909,0.00121909,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
125,0.00121,0.00123317,2.3175e-05,0.00121409,0.00122,0.00122,0.00122409,0.00122909,0.00122909,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
126,0.00122,0.00124318,2.3175e-05,0.00122409,0.00123,0.00123,0.00123409,0.00123909,0.00123909,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
